USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
OR,41001,1135845,Baker,7945996793,51832631,3067.967,20.012999999999998,44.703427000000005,-117.691933,0,0
OR,41003,1155126,Benton,1748712549,7740248,675.182,2.989,44.493882,-123.42466399999999,0,0
OR,41005,1155127,Clackamas,4845035564,31872078,1870.6789999999999,12.306,45.160493,-122.195127,0,0
OR,41007,1135846,Clatsop,2144872198,661629272,828.14,255.457,46.024509,-123.705037,0,0
OR,41009,1135847,Columbia,1704508477,79930091,658.1139999999999,30.861,45.941932,-123.081079,0,0
OR,41011,1135848,Coos,4133803901,544637639,1596.0710000000001,210.28599999999997,43.18591,-124.09413300000001,0,0
OR,41013,1155128,Crook,7715390842,21004473,2978.929,8.11,44.163053999999995,-120.37158500000001,0,0
OR,41015,1155129,Curry,4217488411,934615925,1628.381,360.85699999999997,42.466439,-124.21092900000001,0,0
OR,41017,1155130,Deschutes,7815590704,94710204,3017.617,36.568000000000005,43.915118,-121.225575,0,0
OR,41019,1135849,Douglas,13042325534,251974549,5035.67,97.288,43.286328000000005,-123.154476,0,0
OR,41021,1135850,Gilliam,3120213942,46914717,1204.721,18.114,45.43059,-120.319901,0,0
OR,41023,1135851,Grant,11726925903,1893807,4527.792,0.731,44.496326,-119.01405700000001,0,0
OR,41025,1135852,Harney,26248072899,241568254,10134.438,93.27,43.064448999999996,-118.987169,0,0
OR,41027,1155131,Hood River,1352203435,29040409,522.089,11.213,45.511775,-121.655976,0,0
OR,41029,1135853,Jackson,7208597903,46766412,2783.255,18.057000000000002,42.411621000000004,-122.675611,0,0
OR,41031,1155132,Jefferson,4615977076,26212115,1782.239,10.121,44.645151,-121.17863200000001,0,0
OR,41033,1155133,Josephine,4244080709,5631820,1638.649,2.174,42.386983,-123.57162,0,0
OR,41035,1155134,Klamath,15391639810,503686589,5942.746,194.47400000000002,42.683761,-121.64616799999999,0,0
OR,41037,1135854,Lake,21078875998,568514572,8138.6,219.505,42.788401,-120.38978999999999,0,0
OR,41039,1135855,Lane,11800116009,436246925,4556.05,168.43599999999998,43.928329,-122.89769,0,0
OR,41041,1135856,Lincoln,2540784310,553094279,981.002,213.551,44.641061,-123.911212,0,0
OR,41043,1135857,Linn,5923936549,50054677,2287.245,19.326,44.488898,-122.537208,0,0
OR,41045,1135858,Malheur,25609052021,108996486,9887.711,42.083999999999996,43.188625,-117.603191,0,0
OR,41047,1135859,Marion,3057633979,26550710,1180.559,10.251,44.900898,-122.57626,0,0
OR,41049,1135860,Morrow,5259046542,44372276,2030.529,17.132,45.425496,-119.60231100000001,0,0
OR,41051,1135861,Multnomah,1116560269,88220750,431.106,34.062,45.547711,-122.417363,0,0
OR,41053,1135862,Polk,1918983325,8153115,740.924,3.148,44.900375,-123.398673,0,0
OR,41055,1135863,Sherman,2133151636,19617472,823.6139999999999,7.574,45.399215999999996,-120.67851200000001,0,0
OR,41057,1135864,Tillamook,2855122940,595798850,1102.369,230.03900000000002,45.455890000000004,-123.759299,0,0
OR,41059,1156673,Umatilla,8327974446,41621245,3215.449,16.07,45.5912,-118.73388,0,0
OR,41061,1164165,Union,5275651497,4936782,2036.941,1.906,45.304081,-117.999149,0,0
OR,41063,1155135,Wallowa,8147835329,14191752,3145.897,5.479,45.593753,-117.18558,0,0
OR,41065,1155136,Wasco,6167112266,35724414,2381.135,13.793,45.164536,-121.16506899999999,0,0
OR,41067,1155137,Washington,1875859540,6114246,724.273,2.3609999999999998,45.553542,-123.09761499999999,0,0
OR,41069,1135865,Wheeler,4444475023,1241033,1716.021,0.479,44.736415,-120.02686100000001,0,0
OR,41071,1135866,Yamhill,1854169185,6491759,715.8989999999999,2.506,45.247827,-123.316399,0,0
