County,Cases,Deaths
ADAMS,713,0
ALLEGHENY,10735,0
ARMSTRONG,376,0
BEAVER,1715,0
BEDFORD,174,0
BERKS,6343,0
BLAIR,495,0
BRADFORD,97,0
BUCKS,7621,0
BUTLER,850,0
CAMBRIA,460,0
CAMERON,8,0
CARBON,432,0
CENTRE,1083,0
CHESTER,5919,0
CLARION,98,0
CLEARFIELD,219,0
CLINTON,152,0
COLUMBIA,800,0
CRAWFORD,214,0
CUMBERLAND,1574,0
DAUPHIN,3466,0
DELAWARE,10589,0
ELK,51,0
ERIE,1214,0
FAYETTE,708,0
FOREST,11,0
FRANKLIN,1573,0
FULTON,38,0
GREENE,144,0
HUNTINGDON,393,0
INDIANA,523,0
JEFFERSON,101,0
JUNIATA,164,0
LACKAWANNA,2301,0
LANCASTER,7273,0
LAWRENCE,481,0
LEBANON,1814,0
LEHIGH,5366,0
LUZERNE,3941,0
LYCOMING,585,0
MCKEAN,47,0
MERCER,636,0
MIFFLIN,189,0
MONROE,1753,0
MONTGOMERY,11578,0
MONTOUR,160,0
NORTHAMPTON,4224,0
NORTHUMBERLAND,799,0
PERRY,186,0
PHILADELPHIA,30278,0
PIKE,554,0
POTTER,25,0
SCHUYLKILL,1029,0
SNYDER,203,0
SOMERSET,195,0
SULLIVAN,10,0
SUSQUEHANNA,286,0
TIOGA,51,0
UNION,425,0
VENANGO,74,0
WARREN,40,0
WASHINGTON,1190,0
WAYNE,201,0
WESTMORELAND,1962,0
WYOMING,72,0
YORK,4124,0
Total,141105,0
