County,Cases,Deaths
ADAMS,891,0
ALLEGHENY,12854,0
ARMSTRONG,473,0
BEAVER,1993,0
BEDFORD,264,0
BERKS,7420,0
BLAIR,810,0
BRADFORD,258,0
BUCKS,9086,0
BUTLER,1150,0
CAMBRIA,667,0
CAMERON,8,0
CARBON,482,0
CENTRE,3171,0
CHESTER,7113,0
CLARION,142,0
CLEARFIELD,347,0
CLINTON,217,0
COLUMBIA,962,0
CRAWFORD,331,0
CUMBERLAND,1991,0
DAUPHIN,3982,0
DELAWARE,11772,0
ELK,78,0
ERIE,1673,0
FAYETTE,845,0
FOREST,15,0
FRANKLIN,1847,0
FULTON,55,0
GREENE,195,0
HUNTINGDON,449,0
INDIANA,797,0
JEFFERSON,121,0
JUNIATA,199,0
LACKAWANNA,2747,0
LANCASTER,8257,0
LAWRENCE,564,0
LEBANON,2181,0
LEHIGH,5805,0
LUZERNE,4222,0
LYCOMING,753,0
MCKEAN,63,0
MERCER,784,0
MIFFLIN,248,0
MONROE,1831,0
MONTGOMERY,12543,0
MONTOUR,218,0
NORTHAMPTON,4638,0
NORTHUMBERLAND NC,1151,0
PERRY,252,0
PHILADELPHIA,33144,0
PIKE,596,0
POTTER,31,0
SCHUYLKILL,1297,0
SNYDER,403,0
SOMERSET,239,0
SULLIVAN,15,0
SUSQUEHANNA,310,0
TIOGA,101,0
UNION,571,0
VENANGO,102,0
WARREN,46,0
WASHINGTON,1465,0
WAYNE,257,0
WESTMORELAND,2500,0
WYOMING,80,0
YORK,5171,0
Total,165243,0
