USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
PA,42001,1213656,Adams,1343396085,7776214,518.688,3.002,39.869471000000004,-77.21773,0,0
PA,42003,1213657,Allegheny,1890994512,37306408,730.117,14.404000000000002,40.469757,-79.980451,0,0
PA,42005,1213658,Armstrong,1691756729,27587112,653.191,10.651,40.81238,-79.464129,0,0
PA,42007,1214112,Beaver,1125901370,24162727,434.713,9.329,40.68414,-80.350721,0,0
PA,42009,1209171,Bedford,2621851579,11920892,1012.303,4.603,39.998634,-78.494747,0,0
PA,42011,1209172,Berks,2218082423,24209929,856.4060000000001,9.347999999999999,40.413957,-75.92685999999999,0,0
PA,42013,1213659,Blair,1361819111,3281615,525.8009999999999,1.2670000000000001,40.498653999999995,-78.309597,0,0
PA,42015,1213660,Bradford,2971786846,35239552,1147.413,13.606,41.791503999999996,-76.502123,0,0
PA,42017,1209173,Bucks,1565393345,45204303,604.4019999999999,17.453,40.336887,-75.10706,0,0
PA,42019,1213661,Butler,2044946885,15991831,789.558,6.1739999999999995,40.913847,-79.91897800000001,0,0
PA,42021,1213662,Cambria,1782850495,13649939,688.362,5.27,40.510222,-78.71047800000001,0,0
PA,42023,1213663,Cameron,1026233354,5660231,396.231,2.185,41.438291,-78.198323,0,0
PA,42025,1213664,Carbon,987432366,15895107,381.25,6.1370000000000005,40.918366999999996,-75.705039,0,0
PA,42027,1214720,Centre,2871502921,11214105,1108.694,4.33,40.909128,-77.847877,0,0
PA,42029,1209174,Chester,1943860643,22547828,750.529,8.706,39.974028999999994,-75.749752,0,0
PA,42031,1210234,Clarion,1556156290,23332096,600.835,9.009,41.198159000000004,-79.420369,0,0
PA,42033,1209175,Clearfield,2964714508,23932643,1144.683,9.24,41.000249,-78.473749,0,0
PA,42035,1214721,Clinton,2299868389,23178644,887.9839999999999,8.949,41.262624,-77.69636,0,0
PA,42037,1213665,Columbia,1250947317,18559653,482.99300000000005,7.166,41.045517,-76.40426,0,0
PA,42039,1213666,Crawford,2621848897,65300098,1012.302,25.213,41.687876,-80.107795,0,0
PA,42041,1209176,Cumberland,1412783419,12513405,545.479,4.831,40.164805,-77.263442,0,0
PA,42043,1213667,Dauphin,1359456340,86211444,524.889,33.286,40.412565,-76.79263399999999,0,0
PA,42045,1209177,Delaware,476078165,17582417,183.815,6.789,39.916685,-75.398818,0,0
PA,42047,1213668,Elk,2142883446,12791206,827.372,4.939,41.427332,-78.653937,0,0
PA,42049,1209178,Erie,2069551279,1966249000,799.058,759.173,42.117952,-80.096386,0,0
PA,42051,1209179,Fayette,2047006949,20605089,790.3539999999999,7.956,39.918907,-79.640119,0,0
PA,42053,1213669,Forest,1106623930,8356609,427.27,3.227,41.513304,-79.249705,0,0
PA,42055,1213670,Franklin,2000245529,1547615,772.299,0.598,39.926772,-77.724521,0,0
PA,42057,1213671,Fulton,1133252791,1305486,437.551,0.504,39.91075,-78.122617,0,0
PA,42059,1214033,Greene,1491658067,5296792,575.932,2.045,39.847707,-80.225655,0,0
PA,42061,1213672,Huntingdon,2265337398,37851956,874.6519999999999,14.615,40.422311,-77.968595,0,0
PA,42063,1213673,Indiana,2142730129,18052433,827.313,6.97,40.651432,-79.08754499999999,0,0
PA,42065,1213674,Jefferson,1689799802,11306230,652.435,4.365,41.138028000000006,-79.012419,0,0
PA,42067,1209180,Juniata,1013695972,5502986,391.39,2.125,40.530673,-77.400438,0,0
PA,42069,1213675,Lackawanna,1188213226,15900575,458.772,6.138999999999999,41.440284000000005,-75.609666,0,0
PA,42071,1209181,Lancaster,2444751463,103278571,943.924,39.876,40.041992,-76.250198,0,0
PA,42073,1213676,Lawrence,925211452,11803921,357.226,4.558,40.992734999999996,-80.334446,0,0
PA,42075,1214034,Lebanon,937089776,1781314,361.81199999999995,0.688,40.371448,-76.46481899999999,0,0
PA,42077,1209182,Lehigh,894308181,7573804,345.29400000000004,2.924,40.614241,-75.590627,0,0
PA,42079,1209183,Luzerne,2305001140,42213062,889.966,16.299,41.172787,-75.976035,0,0
PA,42081,1213677,Lycoming,3182485518,39032440,1228.765,15.071,41.343882,-77.055262,0,0
PA,42083,1210235,McKean,2536067959,13048802,979.181,5.038,41.81459,-78.572463,0,0
PA,42085,1213678,Mercer,1741807476,26010715,672.5160000000001,10.043,41.300014000000004,-80.252786,0,0
PA,42087,1213679,Mifflin,1064602268,9507394,411.045,3.6710000000000003,40.601615,-77.651832,0,0
PA,42089,1209184,Monroe,1575379455,22872910,608.257,8.831,41.05624,-75.329065,0,0
PA,42091,1213680,Montgomery,1250877387,10994646,482.966,4.245,40.209998999999996,-75.370201,0,0
PA,42093,1213681,Montour,337326257,5407948,130.24200000000002,2.088,41.029284000000004,-76.665225,0,0
PA,42095,1209185,Northampton,957730763,19073242,369.782,7.364,40.752790999999995,-75.307447,0,0
PA,42097,1209186,Northumberland,1186233370,50558156,458.00699999999995,19.521,40.851524,-76.709877,0,0
PA,42099,1213682,Perry,1428244411,10591167,551.448,4.0889999999999995,40.39778,-77.266328,0,0
PA,42101,1209187,Philadelphia,347781835,21806065,134.279,8.419,40.009376,-75.133346,0,0
PA,42103,1213683,Pike,1411441244,56692241,544.961,21.889,41.325949,-75.031514,0,0
PA,42105,1213684,Potter,2800612694,559778,1081.323,0.21600000000000003,41.748587,-77.894436,0,0
PA,42107,1213685,Schuylkill,2016645873,10834898,778.6310000000001,4.183,40.703682,-76.217788,0,0
PA,42109,1213686,Snyder,851544549,7157945,328.783,2.764,40.755407,-77.072929,0,0
PA,42111,1209188,Somerset,2782573989,17026008,1074.358,6.574,39.981297,-79.028486,0,0
PA,42113,1213687,Sullivan,1165338429,6617028,449.94,2.555,41.439285,-76.511717,0,0
PA,42115,1213688,Susquehanna,2132844489,22391441,823.4960000000001,8.645,41.819665,-75.800969,0,0
