USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
SC,45001,1245666,Abbeville,1272789833,53234749,491.42699999999996,20.554000000000002,34.229040999999995,-82.45405799999999,0,0
SC,45003,1247979,Aiken,2773048987,24575771,1070.68,9.488999999999999,33.550013,-81.632983,0,0
SC,45005,1247980,Allendale,1056949844,11205142,408.091,4.3260000000000005,32.979757,-81.363265,0,0
SC,45007,1247981,Anderson,1848871032,108506374,713.8530000000001,41.895,34.521235,-82.638603,0,0
SC,45009,1247982,Bamberg,1018815104,5686290,393.36699999999996,2.195,33.203021,-81.053161,0,0
SC,45011,1247983,Barnwell,1420294945,23008122,548.379,8.883,33.260552000000004,-81.434228,0,0
SC,45013,1247984,Beaufort,1492221617,899581171,576.15,347.33,32.358112,-80.689422,0,0
SC,45015,1247985,Berkeley,2858491238,337284146,1103.67,130.226,33.2077,-79.953655,0,0
SC,45017,1247986,Calhoun,987179026,29351080,381.152,11.333,33.67478,-80.78034699999999,0,0
SC,45019,1252740,Charleston,2377463289,1139673317,917.944,440.03,32.800458,-79.94248,0,0
SC,45021,1247987,Cherokee,1018735996,11711031,393.336,4.522,35.049796,-81.607647,0,0
SC,45023,1247988,Chester,1503905793,14249301,580.661,5.502000000000001,34.689341999999996,-81.161249,0,0
SC,45027,1247990,Clarendon,1572019537,229734667,606.96,88.70100000000001,33.664682,-80.217889,0,0
SC,45029,1247991,Colleton,2736271582,198925119,1056.48,76.805,32.835018,-80.655244,0,0
SC,45031,1247992,Darlington,1451949379,14636037,560.601,5.651,34.332184999999996,-79.962115,0,0
SC,45033,1247993,Dillon,1049118937,4540145,405.06699999999995,1.7530000000000001,34.390172,-79.374964,0,0
SC,45035,1247998,Dorchester,1472651489,6707342,568.594,2.59,33.082186,-80.404697,0,0
SC,45037,1247999,Edgefield,1296926762,16318325,500.746,6.301,33.776498,-81.968245,0,0
SC,45039,1248000,Fairfield,1777521231,61063162,686.305,23.576999999999998,34.395669,-81.127001,0,0
SC,45041,1248001,Florence,2073312305,9754149,800.51,3.766,34.028535,-79.710233,0,0
SC,45043,1248002,Georgetown,2107975277,573070698,813.8939999999999,221.264,33.417531,-79.29633299999999,0,0
SC,45045,1245489,Greenville,2033481265,25146917,785.132,9.709,34.892645,-82.372077,0,0
SC,45047,1248003,Greenwood,1177727678,21231559,454.723,8.198,34.155796,-82.127876,0,0
SC,45049,1248004,Hampton,1450327705,7072565,559.975,2.7310000000000003,32.778334,-81.143822,0,0
SC,45051,1248005,Horry,2934453641,314430026,1132.999,121.402,33.909269,-78.976675,0,0
SC,45053,1248006,Jasper,1696861246,120225043,655.1619999999999,46.419,32.43059,-81.021627,0,0
SC,45055,1248007,Kershaw,1881915806,35349441,726.612,13.648,34.338356,-80.590885,0,0
SC,45057,1248008,Lancaster,1422080330,15488768,549.068,5.98,34.686818,-80.703688,0,0
SC,45059,1248009,Laurens,1848641840,26091422,713.765,10.074,34.483676,-82.005498,0,0
SC,45061,1245652,Lee,1062372374,2715077,410.184,1.048,34.158640000000005,-80.251209,0,0
SC,45063,1244251,Lexington,1810381403,151892338,698.992,58.646,33.899477000000005,-81.266277,0,0
SC,45067,1248010,Marion,1267172614,12712773,489.25800000000004,4.908,34.08362,-79.354001,0,0
SC,45069,1248011,Marlboro,1242867241,14489019,479.874,5.593999999999999,34.60167,-79.679435,0,0
SC,45065,1248012,McCormick,930140100,89979830,359.129,34.741,33.897599,-82.31619599999999,0,0
SC,45071,1248013,Newberry,1631805739,44657734,630.044,17.242,34.289881,-81.599676,0,0
SC,45073,1244832,Oconee,1622673901,122222250,626.518,47.19,34.748765999999996,-83.06154000000001,0,0
SC,45075,1248014,Orangeburg,2865422661,55784298,1106.346,21.538,33.436135,-80.802913,0,0
SC,45077,1248015,Pickens,1287165247,40505290,496.977,15.639000000000001,34.885368,-82.723377,0,0
SC,45079,1249299,Richland,1961464846,37842441,757.326,14.610999999999999,34.029095,-80.898037,0,0
SC,45081,1248016,Saluda,1173136866,23197889,452.95099999999996,8.957,34.005278000000004,-81.727903,0,0
SC,45083,1248592,Spartanburg,2092048331,29186811,807.7439999999999,11.269,34.933271000000005,-81.991052,0,0
SC,45085,1244717,Sumter,1722533207,44058465,665.074,17.011,33.916140000000006,-80.38237600000001,0,0
SC,45087,1248017,Union,1331696510,4805060,514.1709999999999,1.855,34.690397,-81.61589599999999,0,0
SC,45089,1248018,Williamsburg,2419477548,7461492,934.166,2.8810000000000002,33.626462,-79.716474,0,0
SC,45091,1248019,York,1762934643,39245842,680.673,15.152999999999999,34.970188,-81.183187,0,0
