County,Cases,Deaths
Anderson,698,0
Bedford,930,0
Benton,158,0
Bledsoe,716,0
Blount,1324,0
Bradley,1991,0
Campbell,254,0
Cannon,154,0
Carroll,330,0
Carter,532,0
Cheatham,601,0
Chester,225,0
Claiborne,277,0
Clay,79,0
Cocke,482,0
Coffee,558,0
Crockett,274,0
Cumberland,463,0
Davidson,20865,0
Decatur,215,0
Dekalb,366,0
Dickson,705,0
Dyer,668,0
Fayette,704,0
Fentress,96,0
Franklin,338,0
Gibson,735,0
Giles,387,0
Grainger,204,0
Greene,504,0
Grundy,118,0
Hamblen,1420,0
Hamilton,6315,0
Hancock,81,0
Hardeman,942,0
Hardin,479,0
Hawkins,485,0
Haywood,510,0
Henderson,613,0
Henry,299,0
Hickman,272,0
Houston,61,0
Humphreys,129,0
Jackson,130,0
Jefferson,587,0
Johnson,288,0
Knox,4750,0
Lake,794,0
Lauderdale,522,0
Lawrence,584,0
Lewis,74,0
Lincoln,315,0
Loudon,754,0
Macon,867,0
Madison,1189,0
Marion,228,0
Marshall,305,0
Maury,1284,0
McMinn,559,0
McNairy,388,0
Meigs,108,0
Monroe,451,0
Montgomery,1986,0
Moore,60,0
Morgan,127,0
Obion,588,0
Out of Sta,2952,0
Overton,209,0
Pending,3117,0
Perry,81,0
Pickett,39,0
Polk,213,0
Putnam,1800,0
Rhea,544,0
Roane,488,0
Robertson,1578,0
Rutherford,6629,0
Scott,124,0
Sequatchie,113,0
Sevier,1902,0
Shelby,23625,0
Smith,458,0
Stewart,79,0
Sullivan,1048,0
Sumner,3473,0
Tipton,1217,0
Trousdale,1583,0
Unicoi,168,0
Union,162,0
Van Buren,36,0
Warren,540,0
Washington,1291,0
Wayne,229,0
Weakley,482,0
White,294,0
Williamson,3607,0
Wilson,2339,0
Total,124915,0
