County,Cases,Deaths
Andrews,1,0
Angelina,1,0
Armstrong,1,0
Austin,1,0
Bastrop,0,1
Bee,1,0
Bell,6,3
Bexar,22,33
Blanco,4,0
Bowie,0,1
Brazoria,13,2
Brazos,3,12
Brown,1,1
Burleson,6,0
Calhoun,4,0
Cameron,21,3
Camp,2,0
Castro,0,1
Cherokee,1,1
Collin,19,10
Comal,1,6
Dallam,1,0
Dallas,65,32
Dawson,0,1
Deaf Smith,3,0
Denton,25,13
DeWitt,10,0
Duval,1,0
Ector,2,2
El Paso,8,2
Ellis,6,3
Erath,0,1
Fort Bend,7,12
Galveston,22,9
Gregg,6,0
Guadalupe,1,0
Hale,0,2
Hardin,0,2
Harris,118,46
Harrison,4,1
Hidalgo,8,1
Hockley,0,1
Hood,2,1
Howard,0,1
Hunt,4,2
Jefferson,10,6
Johnson,3,1
Karnes,1,0
Kaufman,4,0
Kendall,1,0
Kleberg,0,1
Lamb,1,0
Liberty,1,0
Limestone,0,1
Llano,3,0
Lubbock,10,21
Matagorda,2,3
Maverick,1,0
McLennan,1,3
Medina,0,1
Midland,0,2
Montague,3,0
Montgomery,15,6
Moore,14,0
Nacogdoches,8,2
Navarro,4,2
Nueces,3,0
Oldham,0,1
Orange,1,0
Palo Pinto,1,1
Panola,7,1
Parker,1,0
Polk,2,0
Potter,9,2
Randall,9,2
Rockwall,2,0
Rusk,1,0
San Augustine,0,1
San Jacinto,1,0
San Patricio,2,0
Shelby,4,0
Smith,5,1
Tarrant,70,25
Taylor,7,1
Titus,1,0
Tom Green,4,1
Travis,82,11
Trinity,1,0
Upshur,1,0
Val Verde,2,0
Van Zandt,0,1
Victoria,6,0
Walker,17,0
Waller,2,0
Washington,0,2
Webb,10,8
Wharton,1,0
Wilbarger,1,0
Willacy,0,1
Williamson,2,4
Wood,1,0
Total,739,318
