USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQTX,AWATER_SQTX,INTPTLAT,INTPTLONG,ROTATE,NOTES
TX,48001,1383786,Anderson,2752201306,39808595,1062.631,15.37,31.841261,-95.661727,0,0
TX,48003,1383787,Andrews,3886850260,957039,1500.721,0.37,32.312258,-102.640206,0,0
TX,48005,1383788,Angelina,2066264544,173315133,797.789,66.917,31.251896000000002,-94.61113399999999,0,0
TX,48007,1383789,Aransas,652856775,714538201,252.06900000000002,275.885,28.122621000000002,-96.967501,0,0
TX,48009,1383790,Archer,2339508173,57767712,903.289,22.304000000000002,33.616305,-98.687267,0,0
TX,48011,1383791,Armstrong,2354581674,12219583,909.1089999999999,4.718,34.964179,-101.356636,0,0
TX,48013,1383792,Atascosa,3158596631,4995711,1219.5410000000002,1.929,28.891478000000003,-98.535381,0,0
TX,48015,1383793,Austin,1674405698,25606399,646.492,9.887,29.891901,-96.27017,0,0
TX,48017,1383794,Bailey,2141847187,1775275,826.972,0.685,34.067521,-102.830345,0,0
TX,48019,1383795,Bandera,2048666866,17288358,790.995,6.675,29.756389000000002,-99.248285,0,0
TX,48021,1383796,Bastrop,2300439612,19009781,888.205,7.34,30.100771999999996,-97.310639,0,0
TX,48023,1383797,Baylor,2246764582,86991035,867.4810000000001,33.586999999999996,33.618802,-99.208189,0,0
TX,48025,1383798,Bee,2279809490,246409,880.2389999999999,0.095,28.416077,-97.742586,0,0
TX,48027,1383799,Bell,2723084632,94398906,1051.389,36.448,31.042748,-97.48127,0,0
TX,48029,1383800,Bexar,3212379601,40835789,1240.307,15.767000000000001,29.448671,-98.520147,0,0
TX,48031,1383801,Blanco,1836953627,10813162,709.252,4.175,30.266455999999998,-98.39921700000001,0,0
TX,48033,1383802,Borden,2324366073,22297606,897.443,8.609,32.73859,-101.439199,0,0
TX,48035,1383803,Bosque,2545908140,50666115,982.9810000000001,19.562,31.900819,-97.637641,0,0
TX,48037,1383804,Bowie,2292144474,98320132,885.002,37.961999999999996,33.446065000000004,-94.422393,0,0
TX,48039,1383805,Brazoria,3530854236,635436253,1363.271,245.343,29.167817,-95.434647,0,0
TX,48041,1383806,Brazos,1518090963,13210254,586.138,5.101,30.656713,-96.30239399999999,0,0
TX,48043,1383807,Brewster,16015869882,22063884,6183.762,8.519,29.808996999999998,-103.25245799999999,0,0
TX,48045,1383808,Briscoe,2330991073,4068657,900.0010000000001,1.571,34.525172,-101.205893,0,0
TX,48047,1383809,Brooks,2443277014,741627,943.355,0.28600000000000003,27.034994,-98.215276,0,0
TX,48049,1383810,Brown,2446120247,32375524,944.452,12.5,31.764136999999998,-98.998456,0,0
TX,48051,1383811,Burleson,1706888861,46046458,659.034,17.779,30.493487,-96.622091,0,0
TX,48053,1383812,Burnet,2575162935,69894208,994.2760000000001,26.986,30.78963,-98.201187,0,0
TX,48055,1383813,Caldwell,1412165279,4958570,545.24,1.915,29.832399,-97.628141,0,0
TX,48057,1383814,Calhoun,1312707005,1361884774,506.839,525.827,28.441719,-96.579574,0,0
TX,48059,1383815,Callahan,2329363239,4898783,899.372,1.891,32.29315,-99.372249,0,0
TX,48061,1383816,Cameron,2309341040,996596429,891.6419999999999,384.788,26.102923,-97.47895799999999,0,0
TX,48063,1383817,Camp,507242994,19128743,195.84799999999998,7.386,32.974581,-94.979085,0,0
TX,48065,1383818,Carson,2383397227,10026604,920.235,3.8710000000000004,35.405496,-101.355356,0,0
TX,48067,1383819,Cass,2426730190,60494083,936.966,23.357,33.083698,-94.357579,0,0
TX,48069,1383820,Castro,2316600395,12557414,894.444,4.848,34.533621000000004,-102.258786,0,0
TX,48071,1383821,Chambers,1546618329,709745142,597.153,274.034,29.696374,-94.669445,0,0
TX,48073,1383822,Cherokee,2727141730,23873001,1052.955,9.217,31.843881,-95.156343,0,0
TX,48075,1383823,Childress,1803954627,44560655,696.5110000000001,17.205,34.524623999999996,-100.208166,0,0
TX,48077,1383824,Clay,2819870186,72508536,1088.758,27.996,33.785903999999995,-98.212917,0,0
TX,48079,1383825,Cochran,2007453828,229068,775.082,0.08800000000000001,33.60844,-102.830449,0,0
TX,48081,1383826,Coke,2361153195,42331832,911.6460000000001,16.344,31.87711,-100.635231,0,0
TX,48083,1383827,Coleman,3270933226,47963343,1262.914,18.519000000000002,31.914205,-99.346622,0,0
TX,48085,1383828,Collin,2179221397,115892956,841.4019999999999,44.747,33.194532,-96.579444,0,0
TX,48089,1383830,Colorado,2487129887,34703995,960.2860000000001,13.399000000000001,29.596296000000002,-96.508935,0,0
TX,48091,1383831,Comal,1449162144,39775861,559.525,15.357999999999999,29.805490999999996,-98.260544,0,0
TX,48093,1383832,Comanche,2428768921,25719485,937.753,9.93,31.951645000000003,-98.549617,0,0
TX,48095,1383833,Concho,2547914005,25740025,983.755,9.937999999999999,31.318883000000003,-99.863649,0,0
TX,48097,1383834,Cooke,2265770199,61339004,874.819,23.683000000000003,33.639196000000005,-97.21034300000001,0,0
TX,48099,1383835,Coryell,2725181904,11798688,1052.1989999999998,4.555,31.391177000000003,-97.798022,0,0
TX,48101,1383836,Cottle,2332448739,2723997,900.564,1.052,34.091906,-100.276442,0,0
TX,48103,1383837,Crane,2033319695,1695980,785.069,0.655,31.422796,-102.487774,0,0
TX,48105,1383838,Crockett,7270935061,53329,2807.324,0.021,30.717532000000002,-101.404211,0,0
TX,48107,1383839,Crosby,2331503429,3873557,900.199,1.496,33.609144,-101.29871,0,0
TX,48109,1383840,Culberson,9873439554,556134,3812.156,0.215,31.445908000000003,-104.526945,0,0
TX,48111,1383841,Dallam,3893095083,5180577,1503.132,2.0,36.28637,-102.59402,0,0
TX,48113,1383842,Dallas,2259439988,93869577,872.375,36.243,32.766987,-96.778424,0,0
