USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
UT,49001,1448015,Beaver,6689681828,5298466,2582.901,2.046,38.357535,-113.238948,0,0
UT,49003,1455966,Box Elder,14881016779,2547651538,5745.593000000001,983.654,41.276061,-113.126226,0,0
UT,49005,1448017,Cache,3016638914,21097697,1164.731,8.146,41.734117,-111.745399,0,0
UT,49007,1448018,Carbon,3831067717,15844443,1479.184,6.117999999999999,39.673284,-110.58848400000001,0,0
UT,49009,1448019,Daggett,1805185914,61230034,696.9860000000001,23.641,40.890099,-109.505785,0,0
UT,49011,1448020,Davis,774573895,870620486,299.065,336.148,41.037559,-112.201943,0,0
UT,49013,1448021,Duchesne,8379502732,38797805,3235.344,14.98,40.289393,-110.429584,0,0
UT,49015,1448022,Emery,11557242836,24843848,4462.277,9.592,39.009025,-110.7211,0,0
UT,49017,1448023,Garfield,13403572592,85610782,5175.149,33.055,37.831664,-111.45090800000001,0,0
UT,49019,1448024,Grand,9512361695,31552270,3672.744,12.182,38.974326,-109.57345,0,0
UT,49021,1448025,Iron,8537474393,11390956,3296.337,4.398,37.909304,-113.30673999999999,0,0
UT,49023,1455158,Juab,8784407524,36542088,3391.679,14.109000000000002,39.71412,-112.790471,0,0
UT,49025,1448026,Kane,10333912584,306169204,3989.946,118.213,37.275089,-111.815329,0,0
UT,49027,1448027,Millard,17574363583,133311812,6785.5,51.472,38.956744,-113.13309199999999,0,0
UT,49029,1448028,Morgan,1577739404,4437369,609.169,1.713,41.091027000000004,-111.57788500000001,0,0
UT,49031,1448029,Piute,1964345824,20285697,758.438,7.832000000000001,38.335881,-112.129375,0,0
UT,49033,1448030,Rich,2664700960,149106532,1028.847,57.57,41.627598,-111.240227,0,0
UT,49035,1448031,Salt Lake,1921943552,164903045,742.067,63.669,40.667883,-111.92424,0,0
UT,49037,1448032,San Juan,20253296804,293696059,7819.842,113.397,37.602633000000004,-109.791574,0,0
UT,49039,1448033,Sanpete,4117901464,32049371,1589.931,12.374,39.382531,-111.572883,0,0
UT,49041,1448034,Sevier,4948000018,20260738,1910.434,7.8229999999999995,38.746824,-111.81193,0,0
UT,49043,1448035,Summit,4844777278,26617166,1870.579,10.277000000000001,40.87206,-110.96848600000001,0,0
UT,49045,1448036,Tooele,17979556883,891073714,6941.946,344.045,40.467753,-113.123979,0,0
UT,49047,1448037,Uintah,11609319514,56115726,4482.384,21.666,40.125887,-109.517748,0,0
UT,49049,1448038,Utah,5190511352,363000373,2004.068,140.155,40.120425,-111.668508,0,0
UT,49051,1448039,Wasatch,3048454179,79128329,1177.015,30.552,40.334884,-111.16156799999999,0,0
UT,49053,1448040,Washington,6287037025,7781671,2427.439,3.005,37.262531,-113.4878,0,0
UT,49055,1448041,Wayne,6374011496,15049641,2461.02,5.811,38.259840000000004,-110.990877,0,0
UT,49057,1448042,Weber,1492536927,216443479,576.2719999999999,83.569,41.270325,-111.876883,0,0
