USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
VA,51001,1480091,Accomack,1163708393,2229277504,449.31,860.7289999999999,37.765944,-75.757807,0,0
VA,51003,1675170,Albemarle,1866007829,14230114,720.47,5.494,38.024184000000005,-78.553506,0,0
VA,51510,1498415,Alexandria city,38679383,1070216,14.934000000000001,0.413,38.819251,-77.08367,0,0
VA,51005,1673675,Alleghany,1156608818,8170515,446.569,3.155,37.787905,-80.008669,0,0
VA,51007,1497770,Amelia,920379346,8188217,355.36,3.161,37.331927,-77.977462,0,0
VA,51009,1480095,Amherst,1227554628,12898694,473.962,4.98,37.629304,-79.154667,0,0
VA,51011,1497238,Appomattox,865622498,3219010,334.219,1.2429999999999999,37.370725,-78.81094,0,0
VA,51013,1480097,Arlington,67332991,273562,25.997,0.106,38.878337,-77.100703,0,0
VA,51015,1480098,Augusta,2504708348,9537633,967.073,3.6830000000000003,38.171911,-79.14755699999999,0,0
VA,51017,1673638,Bath,1370626056,14039993,529.202,5.421,38.068368,-79.73120300000001,0,0
VA,51019,1674818,Bedford,1968605128,42118517,760.0830000000001,16.262,37.312257,-79.52722299999999,0,0
VA,51021,1494613,Bland,926311270,2547183,357.651,0.983,37.130612,-81.125853,0,0
VA,51023,1674418,Botetourt,1401900525,12124670,541.2769999999999,4.681,37.565482,-79.797546,0,0
VA,51520,1498416,Bristol city,33420176,322409,12.904000000000002,0.124,36.616954,-82.15756400000001,0,0
VA,51025,1493961,Brunswick,1466538259,8383474,566.234,3.237,36.764204,-77.86148299999999,0,0
VA,51027,1497431,Buchanan,1302386904,2804451,502.85400000000004,1.083,37.26812,-82.038151,0,0
VA,51029,1501502,Buckingham,1501215438,9911855,579.623,3.827,37.573928,-78.529169,0,0
VA,51530,1498417,Buena Vista city,16674748,219580,6.438,0.085,37.729345,-79.35813399999999,0,0
VA,51031,1674917,Campbell,1303300941,8894442,503.207,3.4339999999999997,37.210152,-79.095428,0,0
VA,51033,1480107,Caroline,1366502847,24928486,527.61,9.625,38.030319,-77.35234799999999,0,0
VA,51035,1480108,Carroll,1229582397,7586189,474.744,2.929,36.731963,-80.72783100000001,0,0
VA,51036,1480109,Charles City,473711563,55274680,182.90099999999998,21.342,37.361053999999996,-77.05417,0,0
VA,51037,1492442,Charlotte,1231010119,5809378,475.296,2.2430000000000003,37.009042,-78.658568,0,0
VA,51550,1498558,Chesapeake city,876737871,32209979,338.51,12.436,36.679376,-76.301788,0,0
VA,51041,1480111,Chesterfield,1097006029,34782834,423.556,13.43,37.378434000000006,-77.585847,0,0
VA,51043,1690562,Clarke,455664148,5690610,175.933,2.197,39.115307,-77.990748,0,0
VA,51570,1498420,Colonial Heights city,19475232,766910,7.519,0.29600000000000004,37.261685,-77.396804,0,0
VA,51580,1789069,Covington city,14163842,521492,5.468999999999999,0.201,37.78106,-79.985434,0,0
VA,51045,1673664,Craig,849770459,2793174,328.098,1.078,37.473603000000004,-80.23105100000001,0,0
VA,51047,1497831,Culpeper,982089164,9005140,379.18699999999995,3.477,38.485929999999996,-77.956476,0,0
VA,51049,1494109,Cumberland,770525893,5917833,297.502,2.285,37.520189,-78.252836,0,0
VA,51590,1498421,Danville city,110844523,2341364,42.797,0.904,36.583334,-79.40807099999999,0,0
