County,Cases,Deaths
Adams,479,5
Asotin,33,2
Benton,3815,121
Chelan,1482,10
Clallam,146,0
Clark,1897,47
Columbia,13,1
Cowlitz,504,5
Douglas,1007,7
Ferry,22,0
Franklin,3667,51
Garfield,4,0
Grant,1676,13
Grays Harbor,132,3
Island,249,13
Jefferson,57,0
King,17308,689
Kitsap,793,7
Kittitas,426,20
Klickitat,121,3
Lewis,241,4
Lincoln,30,0
Mason,254,1
Okanogan,903,5
Pacific,55,2
Pend Oreille,46,0
Pierce,6038,146
San Juan,30,0
Skagit,916,22
Skamania,58,1
Snohomish,5668,202
Spokane,4723,101
Stevens,114,1
Thurston,774,11
Wahkiakum,5,0
Walla Walla,581,3
Whatcom,1012,39
Whitman,120,0
Yakima,10523,218
Unassigned,217,2
Total,66139,1755
