USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
WA,53001,1531601,Adams,4985698857,12464425,1924.989,4.813,47.011238,-118.51286100000002,0,0
WA,53003,1533502,Asotin,1647427904,11291738,636.075,4.36,46.181861,-117.22778100000001,0,0
WA,53005,1513302,Benton,4403230415,154373080,1700.0970000000002,59.604,46.228125,-119.516659,0,0
WA,53007,1531932,Chelan,7565817923,189650482,2921.179,73.22399999999999,47.860974,-120.619041,0,0
WA,53009,1531341,Clallam,4503168731,2409553970,1738.683,930.334,48.110903,-123.88986000000001,0,0
WA,53011,1531820,Clark,1627765527,70227538,628.484,27.115,45.77173,-122.48595300000001,0,0
WA,53013,1513273,Columbia,2249624769,12561759,868.585,4.85,46.29285,-117.911634,0,0
WA,53015,1529156,Cowlitz,2955625058,65415995,1141.173,25.256999999999998,46.196785,-122.67846000000002,0,0
WA,53017,1531818,Douglas,4711869840,76507216,1819.263,29.54,47.741763,-119.694622,0,0
WA,53019,1531821,Ferry,5706361267,140294385,2203.238,54.168,48.473256,-118.53358899999999,0,0
WA,53021,1531822,Franklin,3215718490,60508744,1241.596,23.363000000000003,46.53458,-118.906944,0,0
WA,53023,1533500,Garfield,1841054899,19294817,710.835,7.45,46.429478,-117.53671100000001,0,0
WA,53025,1531924,Grant,6939874184,289941148,2679.5009999999997,111.947,47.213633,-119.46778799999998,0,0
WA,53027,1531823,Grays Harbor,4924766221,834338731,1901.463,322.14,47.113732,-123.82673500000001,0,0
WA,53029,1513272,Island,540043816,799820903,208.512,308.813,48.158553999999995,-122.670649,0,0
WA,53031,1531936,Jefferson,4671624000,995002318,1803.724,384.173,47.805708,-123.52705700000001,0,0
WA,53033,1531933,King,5478557088,497719285,2115.283,192.17,47.490598999999996,-121.833996,0,0
WA,53035,1529223,Kitsap,1023372595,442123262,395.126,170.705,47.639595,-122.649634,0,0
WA,53037,1531926,Kittitas,5950002896,92410114,2297.3089999999997,35.68,47.124441,-120.676709,0,0
WA,53039,1529219,Klickitat,4847515963,84930593,1871.636,32.792,45.870446,-120.77930500000001,0,0
WA,53041,1531927,Lewis,6223179711,86925423,2402.783,33.562,46.580071000000004,-122.377444,0,0
WA,53043,1514052,Lincoln,5984421213,75265957,2310.598,29.06,47.582743,-118.41769199999999,0,0
WA,53045,1529221,Mason,2485238914,236949795,959.556,91.48700000000001,47.354126,-123.17385,0,0
WA,53047,1531928,Okanogan,13639362794,120413445,5266.188,46.492,48.548453,-119.74223500000001,0,0
WA,53049,1513274,Pacific,2418037181,758680709,933.6089999999999,292.928,46.556587,-123.78241899999999,0,0
WA,53051,1529157,Pend Oreille,3626653301,65382423,1400.259,25.244,48.543825,-117.23219099999999,0,0
WA,53053,1529159,Pierce,4320226613,355894389,1668.049,137.412,47.051413000000004,-122.15324,0,0
WA,53055,1531931,San Juan,450429127,1157481619,173.912,446.906,48.50719,-123.103769,0,0
WA,53057,1531402,Skagit,4481252102,483846689,1730.221,186.81400000000002,48.493292,-121.81577,0,0
WA,53059,1529220,Skamania,4294930645,73290050,1658.2820000000002,28.296999999999997,46.024784999999994,-121.953232,0,0
WA,53061,1529222,Snohomish,5404072228,282898666,2086.524,109.228,48.070464,-121.936784,0,0
WA,53063,1529225,Spokane,4568463940,43423106,1763.894,16.766,47.620375,-117.40337099999999,0,0
WA,53065,1531930,Stevens,6416424160,163015693,2477.395,62.941,48.388727,-117.854454,0,0
WA,53067,1529226,Thurston,1871240012,133644618,722.49,51.6,46.935821999999995,-122.830152,0,0
WA,53069,1513275,Wahkiakum,680962890,61582307,262.921,23.776999999999997,46.294638,-123.424458,0,0
WA,53071,1531819,Walla Walla,3289368965,74933658,1270.0330000000001,28.932,46.254606,-118.48037,0,0
WA,53073,1529224,Whatcom,5459374970,1028230391,2107.877,397.00199999999995,48.842653000000006,-121.836432,0,0
WA,53075,1533501,Whitman,5592461103,48248847,2159.261,18.629,46.905944,-117.53538999999999,0,0
WA,53077,1531929,Yakima,11122733955,41189156,4294.512,15.902999999999999,46.456558,-120.740145,0,0
