USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
WI,55001,1581060,Adams,1672216056,108348981,645.646,41.833999999999996,43.973757,-89.767228,0,0
WI,55003,1581061,Ashland,2706476265,3230710866,1044.976,1247.384,46.544424,-90.679691,0,0
WI,55005,1581062,Barron,2235266753,69209178,863.041,26.721999999999998,45.437191999999996,-91.852892,0,0
WI,55007,1581063,Bayfield,3827675487,1460302486,1477.874,563.826,46.634199,-91.17728199999999,0,0
WI,55009,1581064,Brown,1372933170,221808933,530.092,85.641,44.474024,-87.99613000000001,0,0
WI,55011,1581065,Buffalo,1750289306,87551031,675.791,33.804,44.385633,-91.76129399999999,0,0
WI,55013,1581066,Burnett,2127832846,151938089,821.561,58.663999999999994,45.866896999999994,-92.37573,0,0
WI,55015,1581067,Calumet,824344287,204080864,318.281,78.796,44.07841,-88.212132,0,0
WI,55017,1581068,Chippewa,2611628480,85233307,1008.355,32.909,45.069092,-91.283505,0,0
WI,55019,1581069,Clark,3133097725,23243273,1209.6960000000001,8.974,44.739346000000005,-90.609953,0,0
WI,55021,1581070,Columbia,1982756265,78834952,765.547,30.438000000000002,43.471882,-89.330472,0,0
WI,55023,1581071,Crawford,1477970890,73976421,570.648,28.561999999999998,43.24991,-90.95123000000001,0,0
WI,55025,1581072,Dane,3098882969,106233254,1196.485,41.016999999999996,43.067468,-89.417852,0,0
WI,55027,1581073,Dodge,2268044939,81336171,875.697,31.404,43.429628,-88.701939,0,0
WI,55029,1581074,Door,1248277426,4890604606,481.963,1888.273,45.093416999999995,-87.048683,0,0
WI,55031,1581075,Douglas,3378102279,454239392,1304.2930000000001,175.38299999999998,46.463218,-91.892477,0,0
WI,55033,1581076,Dunn,2201905281,35570217,850.16,13.734000000000002,44.947751000000004,-91.897645,0,0
WI,55035,1581077,Eau Claire,1652211280,18848534,637.922,7.277,44.726355,-91.28641400000001,0,0
WI,55037,1581078,Florence,1264232458,24111637,488.12300000000005,9.31,45.871828,-88.406988,0,0
WI,55039,1581079,Fond du Lac,1863667187,119853825,719.566,46.276,43.754721999999994,-88.493284,0,0
WI,55041,1581080,Forest,2626878506,83594186,1014.2439999999999,32.275999999999996,45.666881,-88.773326,0,0
WI,55043,1581081,Grant,2970402180,94521617,1146.879,36.495,42.870028000000005,-90.694229,0,0
WI,55045,1581082,Green,1512667089,1313320,584.044,0.507,42.675521999999994,-89.605074,0,0
WI,55049,1581084,Iowa,1975379914,13870324,762.698,5.355,43.001021,-90.133691,0,0
WI,55051,1581085,Iron,1963751253,416872439,758.209,160.955,46.32655,-90.261298,0,0
WI,55053,1581086,Jackson,2558687761,32538303,987.915,12.562999999999999,44.32459,-90.79951,0,0
WI,55055,1581087,Jefferson,1441306090,67988035,556.491,26.25,43.013804,-88.773985,0,0
WI,55057,1581088,Juneau,1986729546,98638537,767.081,38.085,43.932836,-90.113984,0,0
WI,55059,1581089,Kenosha,704075246,1248841319,271.845,482.18,42.579703,-87.425005,0,0
WI,55061,1581090,Kewaunee,886951818,1921336270,342.454,741.832,44.501032,-87.16330400000001,0,0
WI,55063,1581091,La Crosse,1170076618,73110198,451.769,28.228,43.908221999999995,-91.111758,0,0
WI,55065,1581092,Lafayette,1640985427,2539010,633.5880000000001,0.98,42.655578000000006,-90.130292,0,0
WI,55067,1581093,Langlade,2255098198,44277567,870.698,17.096,45.262381,-89.067725,0,0
WI,55069,1581094,Lincoln,2275832611,72745041,878.704,28.087,45.338417,-89.74230899999999,0,0
WI,55071,1581095,Manitowoc,1526291643,2343348501,589.305,904.7719999999999,44.156137,-87.577352,0,0
