USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
WV,54001,1696996,Barbour,883338380,4639586,341.059,1.791,39.139725,-79.99694699999999,0,0
WV,54003,1550008,Berkeley,831770844,1057606,321.149,0.408,39.447938,-78.037754,0,0
WV,54005,1550009,Boone,1298967362,4305989,501.534,1.663,38.022814000000004,-81.713538,0,0
WV,54007,1550010,Braxton,1322796519,14344826,510.735,5.539,38.699329999999996,-80.73165999999999,0,0
WV,54009,1558262,Brooke,231015798,8732460,89.196,3.372,40.272645000000004,-80.578691,0,0
WV,54011,1550012,Cabell,727837358,18122698,281.02,6.997000000000001,38.419578,-82.243397,0,0
WV,54013,1696945,Calhoun,723252961,3704011,279.25,1.43,38.844159000000005,-81.115478,0,0
WV,54015,1550014,Clay,885617251,4862447,341.939,1.8769999999999998,38.459826,-81.081866,0,0
WV,54017,1689476,Doddridge,828078405,1950541,319.723,0.753,39.26348,-80.70123199999999,0,0
WV,54019,1560095,Fayette,1713569366,17443841,661.613,6.735,38.030933000000005,-81.086051,0,0
WV,54021,1689673,Gilmer,876717626,4082112,338.50300000000004,1.5759999999999998,38.915867,-80.849413,0,0
WV,54023,1697238,Grant,1236388353,7545525,477.37199999999996,2.9130000000000003,39.105988,-79.195064,0,0
WV,54025,1557518,Greenbrier,2641303483,12164256,1019.813,4.697,37.924418,-80.45059,0,0
WV,54027,1718644,Hampshire,1658633563,10902925,640.4019999999999,4.21,39.312139,-78.61198900000001,0,0
WV,54029,1560574,Hancock,213957103,13879340,82.609,5.359,40.516958,-80.570164,0,0
WV,54031,1718557,Hardy,1508191847,5622361,582.316,2.171,39.011361,-78.841729,0,0
WV,54033,1718426,Harrison,1077454934,1320319,416.00800000000004,0.51,39.279182,-80.386498,0,0
WV,54035,1559963,Jackson,1202685084,18828941,464.35900000000004,7.27,38.834234,-81.677717,0,0
WV,54037,1550025,Jefferson,542073026,6150169,209.296,2.375,39.307398,-77.86322,0,0
WV,54039,1550026,Kanawha,2335215669,24056475,901.632,9.288,38.328068,-81.523516,0,0
WV,54041,1550027,Lewis,1002141346,7038764,386.92900000000003,2.718,38.988877,-80.49547700000001,0,0
WV,54043,1550028,Lincoln,1131929493,4019060,437.04,1.5519999999999998,38.17177,-82.077623,0,0
WV,54045,1550029,Logan,1175258983,4780836,453.77,1.8459999999999999,37.830591,-81.940853,0,0
WV,54049,1718173,Marion,799666879,7161744,308.753,2.765,39.505839,-80.243402,0,0
WV,54051,1717539,Marshall,791063492,17411505,305.431,6.723,39.854426000000004,-80.67179399999999,0,0
WV,54053,1560254,Mason,1115682321,36125493,430.767,13.948,38.770914000000005,-82.029007,0,0
WV,54047,1689162,McDowell,1381648552,3731571,533.4580000000001,1.4409999999999998,37.382727,-81.658183,0,0
WV,54055,1557645,Mercer,1085106039,4442450,418.962,1.715,37.403448,-81.10645600000001,0,0
WV,54057,1717890,Mineral,849172613,3503402,327.86699999999996,1.3530000000000002,39.404781,-78.95669000000001,0,0
WV,54059,1550036,Mingo,1095926641,2177833,423.14,0.841,37.721160999999995,-82.158989,0,0
WV,54061,1550037,Monongalia,932631311,14993106,360.091,5.789,39.633645,-80.059074,0,0
WV,54063,1557702,Monroe,1224426776,2297599,472.754,0.887,37.554062,-80.550329,0,0
WV,54065,1557950,Morgan,593295473,1401571,229.07299999999998,0.541,39.555002,-78.257345,0,0
WV,54067,1550040,Nicholas,1675324339,19580622,646.846,7.56,38.291432,-80.797515,0,0
WV,54069,1717163,Ohio,274098954,8274294,105.83,3.195,40.098932,-80.620728,0,0
WV,54071,1550042,Pendleton,1802759655,5429034,696.049,2.096,38.67445,-79.34061700000001,0,0
WV,54073,1678557,Pleasants,337007574,11468023,130.119,4.428,39.368133,-81.161172,0,0
WV,54075,1550044,Pocahontas,2435206760,4094092,940.2389999999999,1.581,38.332606,-80.010121,0,0
WV,54077,1558642,Preston,1680419586,6668879,648.814,2.575,39.46903,-79.668865,0,0
WV,54079,1550046,Putnam,895302723,12226547,345.67800000000005,4.721,38.510513,-81.906109,0,0
WV,54081,1550047,Raleigh,1567869626,10331212,605.3580000000001,3.989,37.762469,-81.26467199999999,0,0
WV,54083,1550048,Randolph,2692810851,667359,1039.7,0.258,38.781095,-79.867788,0,0
WV,54085,1689049,Ritchie,1170648846,4424611,451.99,1.7080000000000002,39.177112,-81.066317,0,0
WV,54087,1550050,Roane,1252422373,404682,483.56300000000005,0.156,38.74295,-81.35449399999999,0,0
WV,54089,1557805,Summers,933930185,18478164,360.592,7.1339999999999995,37.655999,-80.856325,0,0
WV,54091,1689856,Taylor,447475051,7532835,172.771,2.908,39.332478,-80.046554,0,0
WV,54093,1689423,Tucker,1085320037,5303786,419.04400000000004,2.048,39.111175,-79.55996800000001,0,0
WV,54095,1678706,Tyler,663818549,11382159,256.302,4.395,39.465634,-80.877219,0,0
WV,54097,1696800,Upshur,918506902,302703,354.63800000000003,0.11699999999999999,38.90253,-80.231606,0,0
WV,54099,1550056,Wayne,1310550727,15814102,506.006,6.106,38.143642,-82.422666,0,0
WV,54101,1550057,Webster,1433481441,7144591,553.47,2.759,38.483459,-80.44905200000001,0,0
WV,54103,1717836,Wetzel,927389120,8449879,358.06699999999995,3.263,39.59818,-80.63539899999999,0,0
WV,54105,1678877,Wirt,602201079,5839710,232.511,2.255,39.020034,-81.382975,0,0
WV,54107,1560558,Wood,949251416,26569123,366.50800000000004,10.258,39.211602,-81.516234,0,0
WV,54109,1550061,Wyoming,1293620915,6083317,499.47,2.349,37.60366,-81.549032,0,0
