USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,ROTATE,NOTES
WY,56001,1605066,Albany,11070455501,89161376,4274.327,34.425,41.665514,-105.721883,0,0
WY,56003,1605067,Big Horn,8124681755,55228616,3136.9570000000003,21.324,44.525117,-107.994848,0,0
WY,56005,1605068,Campbell,12437291887,11010427,4802.065,4.251,44.191998999999996,-105.51701399999999,0,0
WY,56007,1605069,Carbon,20455215112,171386122,7897.803000000001,66.173,41.703590000000005,-106.933153,0,0
WY,56009,1605070,Converse,11020303973,26150335,4254.963,10.097000000000001,42.984623,-105.524752,0,0
WY,56011,1605071,Crook,7393068935,28186052,2854.48,10.883,44.589265999999995,-104.567298,0,0
WY,56013,1605072,Fremont,23785388828,212768588,9183.59,82.15,43.054831,-108.608935,0,0
WY,56015,1605073,Goshen,5764311422,16969240,2225.613,6.5520000000000005,42.089455,-104.35354,0,0
WY,56017,1605074,Hot Springs,5191447312,5106758,2004.4289999999999,1.972,43.720209000000004,-108.435076,0,0
WY,56019,1609191,Johnson,10759204099,52952166,4154.152,20.445,44.044048,-106.58854099999999,0,0
WY,56021,1605075,Laramie,6956354974,4348083,2685.864,1.679,41.29283,-104.660395,0,0
WY,56023,1605076,Lincoln,10555073735,49947393,4075.337,19.285,42.229993,-110.682961,0,0
WY,56025,1605077,Natrona,13831928329,90969261,5340.5380000000005,35.123000000000005,42.977645,-106.76821899999999,0,0
WY,56027,1605078,Niobrara,6801380673,4969450,2626.028,1.919,43.062159,-104.468373,0,0
WY,56029,1605079,Park,17972027717,67638744,6939.039000000001,26.115,44.492387,-109.593597,0,0
WY,56031,1605080,Platte,5390926633,76129013,2081.448,29.394000000000002,42.131593,-104.95396299999999,0,0
WY,56033,1605081,Sheridan,6535475106,7986330,2523.361,3.0839999999999996,44.781369,-106.88121100000001,0,0
WY,56035,1605082,Sublette,12655929028,127353627,4886.482,49.172,42.767928000000005,-109.91617,0,0
WY,56037,1609192,Sweetwater,27005754251,166230252,10426.98,64.182,41.660328,-108.875677,0,0
WY,56039,1605083,Teton,10351784298,570864879,3996.8459999999995,220.412,44.048662,-110.42608700000001,0,0
WY,56041,1605084,Uinta,5391631765,16625817,2081.721,6.419,41.284726,-110.558947,0,0
WY,56043,1605085,Washakie,5798138761,10429604,2238.674,4.027,43.878831,-107.66905200000001,0,0
WY,56045,1605086,Weston,6210804117,5225499,2398.005,2.0180000000000002,43.846213,-104.57002,0,0
